CNTRYID,CNT,HDI,RMSE,MAE,corr,kendall,median_RMSE,median_MAE
344,Hong Kong,0.91,70.47983253032278,56.741536504913725,0.6304864341311259,0.4392301327812705,80.36605973782545,63.50558704982273
410,Korea,0.898,73.63242572798322,58.770835409352806,0.6410907910033871,0.45187379443051173,95.21670613492161,77.01123132055187
826,United Kingdom,0.907,64.46913163474578,51.37336020027478,0.7476068419266948,0.5534872844610854,96.64245885390547,79.07507042452497
56,Belgium,0.89,65.58744288873132,52.053041910622525,0.7609951998387751,0.5642776557456115,100.26782452948585,81.93350875556938
191,Croatia,0.818,61.450086176668215,48.822238610272315,0.7203458073327882,0.5255324700399805,88.26292460022609,71.87113220864177
724,Spain,0.876,60.884174435770085,48.74633722906526,0.7327857134567884,0.5314012579558863,86.4610049561195,69.7397510391924
348,Hungary,0.828,66.79133377925893,53.02652468316911,0.6996160347495891,0.506702337818694,93.55585292686355,76.25743990809474
604,Peru,0.734,82.39829071095424,68.22436598223533,0.7004805723757803,0.5082079280177395,76.39578717870317,61.372908764883086
970,B-S-J-G (China),0.787,88.58819223008442,72.62031007214587,0.6981416288482432,0.4996739666825987,99.16579061756286,80.20132842190834
36,Australia,0.935,70.57629829261434,55.89493781427779,0.7352961403270526,0.5396383857034683,103.82460484239029,84.91160495526496
440,Lithuania,0.839,62.89118015904927,49.991624532734306,0.7207352646973593,0.5270873211968939,90.33201268924269,73.51405977011494
100,Bulgaria,0.782,73.00350814101017,58.24687756727685,0.7129828552319959,0.5240222403458312,101.27903819548894,83.54490873819164
352,Iceland,0.899,77.56475914269738,61.85871134652216,0.6505258561979939,0.46578680022039526,91.41632351637085,74.0685431622664
300,Greece,0.865,69.56662931969134,55.47099673205831,0.6954967251432214,0.5050665742846117,90.46313547993853,73.9959647505423
703,Slovak Republic,0.844,66.41058879098541,52.592672972880315,0.7346826708612892,0.5399485296196497,97.74608027004516,79.28440377952757
764,Thailand,0.726,72.5951574613379,58.65722786135853,0.6927418562888936,0.4936346341566751,89.12059850259934,71.88536865074555
276,Germany,0.916,84.34246230887072,67.31780202234589,0.6602303779878965,0.46396185677111657,98.60671784785572,80.03127167896679
428,Latvia,0.819,63.19927035409246,50.33108407652384,0.6620049835276269,0.4719232320864923,80.04847271523353,64.80418730745532
152,Chile,0.832,66.76672950843981,53.55185626433261,0.7331569489418525,0.536898925562475,87.76769260017524,71.92157677584007
214,Dominican Republic,0.715,110.54671629233785,96.12639094176542,0.6317107587655822,0.43615086255254143,73.11287019979527,57.687587974683545
